strategic_segment,customers,avg_historical_spend,churn_rate,campaign_cost_per_customer,retention_uplift,retained_customers,incremental_revenue,campaign_cost,expected_roi
High Value - Inactive,67,5368.381411940299,0.2835820895522388,5,0.1,1.9000000000000001,3059.9774048059703,335,8.13
High Value - Moderately Engaged,45,5743.8767800000005,0.17777777777777778,5,0.1,0.8,1378.5304272,225,5.13
High Value - Highly Engaged,85,5148.891597647059,0.17647058823529413,5,0.1,1.5000000000000002,2317.001218941177,425,4.45
Medium Value - Highly Engaged,114,1846.1909535087718,0.2982456140350877,5,0.1,3.4000000000000004,1883.1147725789474,570,2.3
Medium Value - Inactive,178,1708.8053095505618,0.28651685393258425,5,0.1,5.1,2614.4721236123596,890,1.94
Medium Value - Moderately Engaged,100,1725.947366,0.22,5,0.1,2.2,1139.1252615600001,500,1.28
Low Value - Highly Engaged,18,639.5838333333334,0.16666666666666666,5,0.1,0.30000000000000004,57.562545000000014,90,-0.36
Low Value - Inactive,106,357.0297924528302,0.2830188679245283,5,0.1,3,321.32681320754716,530,-0.39
Low Value - Moderately Engaged,55,453.1574981818182,0.21818181818181817,5,0.1,1.2000000000000002,163.13669934545456,275,-0.41
Low Value - Occasional,18,151.55255555555556,0.2777777777777778,5,0.1,0.5,22.732883333333334,90,-0.75
Medium Value - Occasional,1,845.9159999999999,0,5,0.1,0,0,5,-1
